iter	Passed	Remaining
0	47	47543
1	48	24004
2	48	16163
3	49	12241
4	49	9891
5	50	8325
6	51	7255
7	51	6412
8	52	5780
9	53	5283
10	53	4851
11	54	4486
12	55	4178
13	55	3911
14	56	3681
15	56	3485
16	57	3317
17	57	3161
18	58	3019
19	58	2890
20	59	2771
21	59	2667
22	60	2570
23	61	2481
24	61	2399
25	62	2324
26	62	2256
27	63	2191
28	63	2131
29	64	2075
30	64	2022
31	65	1972
32	65	1924
33	66	1880
34	66	1839
35	67	1803
36	68	1775
37	68	1743
38	69	1712
39	70	1688
40	71	1661
41	71	1631
42	72	1604
43	72	1578
44	73	1553
45	73	1529
46	74	1505
47	74	1483
48	75	1461
49	75	1440
50	76	1421
51	76	1402
52	77	1383
53	77	1365
54	78	1348
55	78	1331
56	79	1314
57	79	1298
58	80	1283
59	80	1268
60	81	1255
61	85	1297
62	86	1284
63	86	1271
64	87	1258
65	87	1245
66	88	1232
67	89	1219
68	89	1208
69	90	1197
70	90	1185
71	91	1174
72	92	1171
73	92	1160
74	93	1149
75	93	1139
76	94	1129
77	94	1119
78	95	1110
79	96	1113
80	97	1106
81	98	1100
82	98	1092
83	99	1083
84	100	1077
85	100	1071
86	101	1064
87	102	1057
88	102	1049
89	103	1043
90	103	1035
91	104	1028
92	104	1021
93	105	1014
94	105	1007
95	106	1000
96	106	993
97	107	987
98	107	980
99	108	974
100	108	968
101	109	963
102	110	958
103	110	952
104	111	947
105	111	942
106	112	936
107	112	931
108	113	926
109	113	921
110	114	916
111	115	912
112	115	908
113	116	905
114	117	900
115	117	896
116	118	891
117	118	887
118	119	882
119	119	878
120	120	874
121	120	869
122	121	868
123	122	864
124	123	862
125	123	859
126	124	854
127	124	851
128	125	848
129	126	844
130	126	841
131	127	838
132	128	836
133	128	832
134	129	828
135	129	825
136	130	822
137	131	818
138	131	814
139	132	811
140	132	807
141	132	802
142	133	799
143	133	795
144	134	791
145	134	787
146	135	784
147	135	780
148	135	776
149	136	772
150	136	768
151	137	765
152	137	761
153	137	758
154	138	754
155	138	751
156	139	748
157	139	744
158	140	741
159	140	738
160	140	733
161	141	730
162	142	729
163	142	728
164	143	725
165	143	722
166	144	719
167	144	716
168	145	713
169	145	710
170	146	707
171	146	705
172	146	702
173	147	699
174	147	696
175	148	694
176	148	691
177	149	688
178	149	685
179	149	683
180	150	680
181	150	677
182	151	674
183	151	672
184	151	669
185	152	666
186	152	664
187	153	661
188	153	659
189	154	656
190	154	654
191	154	651
192	155	649
193	155	646
194	156	644
195	156	641
196	157	640
197	157	638
198	158	637
199	158	635
200	159	633
201	159	631
202	160	629
203	160	627
204	161	624
205	161	622
206	161	620
207	162	618
208	162	616
209	163	613
210	163	611
211	163	609
212	164	607
213	164	605
214	165	603
215	165	600
216	165	598
217	166	596
218	166	594
219	166	592
220	167	589
221	167	587
222	168	585
223	168	583
224	168	581
225	169	580
226	169	577
227	170	576
228	170	573
229	170	572
230	171	570
231	172	569
232	173	570
233	174	569
234	174	568
235	175	566
236	175	565
237	176	563
238	176	561
239	176	559
240	177	558
241	177	556
242	178	554
243	178	552
244	178	551
245	179	549
246	179	547
247	179	545
248	180	544
249	180	542
250	181	540
251	181	538
252	181	537
253	182	535
254	182	533
255	182	531
256	183	530
257	183	528
258	184	526
259	184	525
260	184	523
261	185	521
262	185	520
263	185	518
264	186	516
265	186	515
266	187	514
267	187	513
268	188	512
269	189	511
270	190	512
271	190	510
272	191	509
273	191	508
274	192	506
275	192	505
276	193	503
277	193	502
278	193	500
279	194	499
280	194	498
281	195	496
282	195	495
283	195	493
284	196	492
285	196	490
286	196	489
287	197	487
288	197	486
289	198	484
290	198	483
291	198	482
292	199	480
293	199	479
294	199	477
295	200	476
296	200	475
297	201	473
298	201	472
299	202	471
300	202	470
301	203	470
302	204	469
303	204	468
304	204	466
305	205	465
306	205	464
307	206	463
308	206	461
309	207	460
310	207	459
311	207	458
312	208	456
313	208	455
314	208	454
315	209	453
316	209	451
317	210	450
318	210	449
319	210	448
320	211	446
321	211	445
322	211	444
323	212	443
324	212	442
325	213	440
326	213	439
327	214	438
328	214	437
329	214	436
330	215	434
331	215	433
332	216	432
333	216	431
334	217	431
335	219	432
336	219	431
337	219	430
338	220	430
339	221	429
340	221	428
341	221	426
342	222	425
343	222	424
344	223	423
345	223	422
346	223	421
347	224	420
348	224	419
349	225	418
350	225	416
351	225	415
352	226	414
353	227	414
354	227	413
355	227	412
356	228	411
357	228	409
358	228	408
359	229	407
360	229	406
361	230	405
362	230	404
363	230	403
364	231	402
365	231	401
366	232	400
367	233	400
368	233	399
369	234	398
370	234	397
371	235	396
372	235	395
373	235	394
374	236	393
375	236	392
376	237	391
377	237	390
378	237	389
379	238	388
380	238	387
381	238	386
382	239	385
383	239	384
384	240	383
385	240	382
386	240	381
387	241	380
388	241	379
389	241	378
390	242	377
391	242	376
392	243	375
393	243	374
394	243	373
395	244	372
396	244	371
397	244	370
398	245	369
399	245	368
400	246	368
401	248	369
402	249	369
403	249	368
404	250	367
405	250	366
406	250	365
407	251	364
408	251	363
409	252	362
410	252	361
411	252	360
412	253	359
413	253	359
414	254	358
415	254	357
416	254	356
417	255	355
418	255	354
419	255	353
420	256	352
421	256	351
422	257	350
423	257	349
424	257	348
425	258	347
426	258	347
427	258	346
428	259	345
429	259	344
430	260	343
431	260	342
432	260	341
433	261	340
434	261	340
435	262	339
436	264	340
437	264	339
438	265	339
439	265	338
440	266	337
441	266	336
442	266	335
443	267	334
444	267	333
445	268	333
446	268	332
447	268	331
448	269	330
449	270	330
450	270	329
451	270	328
452	271	327
453	271	326
454	271	325
455	272	324
456	272	323
457	273	323
458	273	322
459	273	321
460	274	320
461	274	319
462	275	318
463	275	318
464	275	317
465	276	316
466	276	315
467	277	315
468	279	316
469	280	316
470	280	315
471	281	314
472	281	313
473	282	312
474	282	312
475	282	311
476	283	310
477	283	309
478	283	308
479	284	308
480	284	307
481	285	306
482	285	305
483	285	304
484	286	303
485	286	303
486	287	302
487	287	301
488	287	300
489	288	299
490	288	299
491	288	298
492	289	297
493	289	296
494	290	295
495	290	295
496	290	294
497	291	293
498	292	293
499	293	293
500	294	292
501	294	292
502	295	291
503	295	290
504	296	290
505	296	289
506	296	288
507	297	287
508	297	287
509	298	286
510	298	285
511	298	284
512	299	284
513	299	283
514	300	282
515	300	281
516	300	281
517	301	280
518	301	279
519	301	278
520	302	277
521	302	277
522	303	276
523	303	275
524	303	274
525	304	274
526	304	273
527	304	272
528	305	271
529	305	271
530	306	270
531	306	269
532	307	269
533	307	268
534	310	269
535	310	268
536	310	268
537	311	267
538	311	266
539	312	265
540	312	265
541	312	264
542	313	263
543	313	262
544	314	262
545	314	261
546	314	260
547	315	259
548	315	259
549	315	258
550	316	257
551	316	257
552	317	256
553	317	255
554	317	254
555	318	254
556	318	253
557	318	252
558	319	251
559	319	251
560	320	250
561	320	249
562	320	249
563	321	248
564	321	247
565	322	247
566	323	247
567	324	246
568	324	245
569	324	245
570	325	244
571	325	243
572	326	243
573	326	242
574	327	241
575	327	241
576	327	240
577	328	239
578	328	238
579	329	238
580	329	237
581	329	236
582	330	236
583	330	235
584	330	234
585	331	234
586	331	233
587	332	232
588	332	232
589	332	231
590	333	230
591	333	229
592	334	229
593	334	228
594	334	227
595	335	227
596	335	226
597	336	225
598	336	225
599	338	225
600	339	225
601	339	224
602	340	224
603	340	223
604	341	222
605	341	222
606	342	221
607	342	220
608	343	220
609	343	219
610	343	218
611	344	218
612	344	217
613	345	216
614	345	216
615	345	215
616	346	214
617	346	214
618	346	213
619	347	212
620	347	212
621	348	211
622	348	210
623	348	210
624	349	209
625	349	208
626	349	208
627	350	207
628	350	206
629	351	206
630	351	205
631	352	205
632	353	204
633	353	204
634	354	203
635	354	202
636	354	202
637	355	201
638	355	201
639	356	200
640	356	199
641	357	199
642	357	198
643	358	197
644	358	197
645	358	196
646	359	195
647	359	195
648	359	194
649	360	194
650	360	193
651	361	192
652	361	192
653	361	191
654	362	190
655	362	190
656	363	189
657	363	188
658	363	188
659	364	187
660	364	186
661	364	186
662	365	185
663	365	185
664	366	184
665	367	184
666	368	183
667	369	183
668	369	182
669	370	182
670	370	181
671	371	181
672	371	180
673	371	179
674	372	179
675	372	178
676	373	178
677	373	177
678	374	176
679	374	176
680	374	175
681	375	175
682	375	174
683	376	173
684	376	173
685	376	172
686	377	171
687	377	171
688	378	170
689	378	170
690	378	169
691	379	168
692	379	168
693	379	167
694	380	166
695	380	166
696	381	165
697	382	165
698	383	165
699	383	164
700	384	164
701	384	163
702	385	162
703	385	162
704	386	161
705	386	160
706	386	160
707	387	159
708	387	159
709	388	158
710	388	157
711	388	157
712	389	156
713	389	156
714	390	155
715	390	154
716	390	154
717	391	153
718	391	153
719	391	152
720	392	151
721	392	151
722	393	150
723	393	150
724	394	149
725	394	148
726	395	148
727	395	147
728	395	147
729	396	146
730	396	146
731	397	145
732	397	144
733	398	144
734	398	143
735	398	143
736	399	142
737	399	141
738	401	141
739	402	141
740	402	140
